CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000001750,20100716,20100531,1,1
0000001750,20090716,20090531,1,1
0000001750,20110713,20110531,1,1
0000001750,20190718,20190531,1,1
0000001750,20180711,20180531,1,1
0000001750,20140717,20140531,1,1
0000001750,20170712,20170531,1,1
0000001750,20150715,20150531,1,1
0000001750,20160713,20160531,1,1
0000001750,20130726,20130531,1,1
0000001750,20120719,20120531,1,1
0000001800,20180216,20171231,1,1
0000001800,20190222,20181231,1,1
0000001800,20120221,20111231,1,1
0000001800,20160219,20151231,1,1
0000001800,20170217,20161231,1,1
0000001800,20140221,20131231,1,1
0000001800,20130215,20121231,1,1
0000001800,20110218,20101231,1,1
0000001800,20150227,20141231,1,1
0000001800,20090220,20081231,1,1
0000001800,20100219,20091231,1,1
0000002034,20110909,20110630,1,1
0000002034,20100910,20100630,1,1
0000002034,20090911,20090630,1,1
0000002034,20160826,20160630,1,1
0000002034,20170825,20170630,1,1
0000002034,20150911,20150630,1,1
0000002034,20180928,20180630,1,1
0000002034,20140905,20140630,1,1
0000002034,20120907,20120630,1,1
0000002034,20130829,20130630,1,1
0000002098,20190315,20181231,1,1
0000002098,20170310,20161231,1,1
0000002098,20180315,20171231,1,1
0000002098,20160311,20151231,1,1
0000002098,20120307,20111231,1,1
0000002098,20130308,20121231,1,1
0000002098,20150306,20141231,1,1
0000002098,20140306,20131231,1,1
0000002098,20110311,20101231,1,1
0000002098,20090310,20081231,1,1
0000002098,20100309,20091231,1,1
0000002178,20110321,20101231,1,1
0000002178,20090324,20081231,1,1
0000002178,20100323,20091231,1,1
0000002178,20160311,20151231,1,1
0000002178,20120323,20111231,1,1
0000002178,20170331,20161231,1,1
0000002178,20180312,20171231,1,1
0000002178,20190311,20181231,1,1
0000002178,20130315,20121231,1,1
0000002178,20140313,20131231,1,1
0000002178,20150313,20141231,1,1
0000002186,20160302,20151231,1,1
0000002186,20150304,20141231,1,1
0000002186,20140305,20131231,1,1
0000002186,20170301,20161231,1,1
0000002186,20180306,20171231,1,1
0000002186,20190227,20181231,1,1
0000002186,20110302,20101231,1,1
0000002186,20100304,20091231,1,1
0000002186,20090309,20081231,1,1
0000002186,20130305,20121231,1,1
0000002186,20120306,20111231,1,1
0000002488,20170221,20161231,1,1
0000002488,20100219,20091226,1,1
0000002488,20090224,20081227,1,1
0000002488,20160218,20151226,1,1
0000002488,20180227,20171230,1,1
0000002488,20150219,20141227,1,1
0000002488,20120224,20111231,1,1
0000002488,20140218,20131228,1,1
