CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000007323,20090302,20081231,1,1
0001427437,20100226,20091231,1,1
0001427437,20110228,20101231,1,1
0001427437,20120228,20111231,1,1
0000007323,20160226,20151231,1,1
0000071508,20190226,20181231,1,1
0000071508,20180226,20171231,1,1
0000066901,20170224,20161231,1,1
0001427437,20130227,20121231,1,1
0000007323,20150226,20141231,1,1
0000007323,20140227,20131231,1,1
0000101001,20100226,20091231,1,0
0000101001,20090302,20081231,1,1
0000319687,20180222,20171231,1,1
0000319687,20160218,20151231,1,1
0000319687,20170223,20161231,1,1
0000101001,20110222,20101231,1,1
0000319687,20190228,20181231,1,1
0000319687,20130225,20121231,1,1
0000101001,20120222,20111231,1,1
0000319687,20150220,20141231,1,1
0000319687,20140220,20131231,1,1
0000714560,20110223,20101231,1,1
0000714560,20130220,20121231,1,1
0000714560,20090218,20081231,1,1
0000714560,20100217,20091231,1,1
0000714560,20120222,20111231,1,1
0000714560,20140228,20131231,1,1
0001158659,20110225,20101231,1,1
0000081033,20170227,20161231,1,1
0001158659,20190228,20181231,1,1
0000081033,20180226,20171231,1,1
0001158659,20120227,20111231,1,1
0001158659,20130226,20121231,1,1
0000081033,20160226,20151231,1,1
0001158659,20140226,20131231,1,1
0000081033,20150226,20141231,1,1
0000081033,20090226,20081231,1,1
0001158659,20100225,20091231,1,1
0001012493,20191015,20190731,1,1
0001012493,20090928,20090731,1,1
0001012493,20100928,20100731,1,1
0001012493,20180927,20180731,1,1
0001012493,20150929,20150731,1,1
0001012493,20121001,20120731,1,1
0001012493,20110926,20110731,1,1
0000922360,20130926,20130731,1,1
0001012493,20140929,20140731,1,1
0001012493,20160928,20160731,1,1
0001012493,20170928,20170731,1,1
0001465264,20160318,20160131,1,1
0001465264,20190319,20190203,1,1
0001465264,20170314,20170129,1,1
0001465264,20180313,20180128,1,1
0001465264,20140325,20140202,1,1
0001465264,20150324,20150201,1,1
0000047129,20180227,20171231,1,1
0000047129,20170306,20161231,1,1
0000047129,20190225,20181231,1,1
0000054507,20190222,20181231,1,1
0000073020,20190301,20181231,1,1
