CIK,Filed As Of Date,Conformed Period Of Report,Keyword Sentence,item1check
0000056701,20090826,20090630,,0
0000001750,20100716,20100531,"Furthermore, we have a collective bargaining agreement covering approximately 610 employees.",0
0000056701,20110902,20110630,"EMPLOYEES   As of June 30, 2011, the Company employed 65 people, who are all non-union.",0
0000001750,20090716,20090531,"Furthermore, we have a collective bargaining agreement covering approximately 630 employees.",0
0000001750,20110713,20110531,"Furthermore, we have a collective bargaining agreement covering 487 employees.",0
0000056701,20130823,20130630,"EMPLOYEES As of June 30, 2013, the Company employed 61 people, who are all non-union.",0
0000001750,20190718,20190531,"Employees   At May 31, 2019, we employed approximately 5,650 employees worldwide, of which approximately 200 employees are subject to a collective bargaining agreement.",0
0000001750,20190718,20190531,"Furthermore, we have a collective bargaining agreement covering approximately 200 employees.",0
0000056701,20140828,20140630,"EMPLOYEES As of June 30, 2014, the Company employed 60 non-union employees, 5 of which were part-time employees.",0
0000056701,20150828,20150630,"EMPLOYEES As of June 30, 2015, the Company employed 54 non-union employees, 6 of which were part-time employees.",0
0000001750,20180711,20180531,"Employees   At May 31, 2018, we employed approximately 5,000 employees worldwide, of which approximately 155 employees are subject to a collective bargaining agreement.",0
0000001750,20180711,20180531,"Furthermore, we have a collective bargaining agreement covering approximately 155 employees.",0
0000056868,20120329,20111231,,0
0000056868,20100415,20091231,,0
0000056868,20110408,20101231,,0
0000056868,20170418,20161231,,0
0000056868,20150318,20141231,,0
0000001750,20140717,20140531,"Employees   At May 31, 2014, we employed approximately 5,800 employees worldwide, of which approximately 130 employees are subject to a collective bargaining agreement.",0
0000001750,20140717,20140531,"Furthermore, we have a collective bargaining agreement covering approximately 130 employees.",0
0000056868,20130327,20121231,,0
0000056868,20180417,20171231,,0
0000001750,20170712,20170531,"Employees   At May 31, 2017, we employed approximately 4,600 employees worldwide, of which approximately 125 employees are subject to a collective bargaining agreement.",0
0000001750,20170712,20170531,"Furthermore, we have a collective bargaining agreement covering approximately 125 employees.",0
0000056868,20140326,20131231,,0
0000056868,20160408,20151231,,0
0000056868,20190416,20181231,,0
0000056868,20090403,20081231,,0
0000001750,20150715,20150531,"Employees   At May 31, 2015, we employed approximately 4,850 employees worldwide, of which approximately 150 employees are subject to a collective bargaining agreement.",0
0000001750,20150715,20150531,"Furthermore, we have a collective bargaining agreement covering approximately 150 employees.",0
0000056873,20090331,20090131,A majority of the Companys employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
0000056873,20090331,20090131,"During fiscal 2009, the Company has major labor contracts to be negotiated covering store employees in Albuquerque, Arizona, Atlanta, Dallas, Dayton, Denver and Portland.",0
0000056873,20090331,20090131,"LABOR RELATIONS   A majority of our employees are covered by collective bargaining agreements with unions, and our relationship with those unions, including any work stoppages, could have an adverse impact on our financial results.",0
0000056873,20090331,20090131,We are a party to approximately 309 collective bargaining agreements.,0
0000056873,20090331,20090131,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20090331,20090131,"Further, if we are unable to control health care, pension and wage costs, or gain operational flexibility under our collective bargaining agreements, we may experience increased operating costs and an adverse impact on future results of operations.",0
0000056873,20090331,20090131,"MULTI-EMPLOYER PENSION OBLIGATIONS   As discussed in more detail below in Managements Discussion and Analysis of Financial Condition and Results of Operations-Critical Accounting Policies-Post-Retirement Benefit Plans, Kroger contributes to several multi-employer pension plans based on obligations arising under collective bargaining agreements with unions representing employees covered by those agreements.",0
0000056873,20090331,20090131,"(collectively, the Retailers), which was designed to prevent the union from placing disproportionate pressure on one or more of the Retailers by picketing such Retailer(s) but not the other Retailer(s) during the labor dispute in southern California, violated Section 1 of the Sherman Act.",0
0000056873,20090331,20090131,(b) Multi-Employer Plans   We also contribute to various multi-employer pension plans based on obligations arising from most of our collective bargaining agreements.,0
0000056873,20090331,20090131,Trustees are appointed in equal number by employers and unions.,0
0000056873,20090331,20090131,"We do not expect a significant increase in our contributions to multi-employer pension plans in 2009, compared to 2008, subject to collective bargaining and capital market conditions.",0
0000056873,20090331,20090131,"The amount could decline, and Krogers future expense would be favorably affected, if the values of the assets held in the trust significantly increase or if further changes occur through collective bargaining, trustee action or favorable legislation.",0
0000056873,20090331,20090131,"On the other hand, Krogers share of the underfunding could increase and Krogers future expense could be adversely affected if the asset values decline, if employers currently contributing to these funds cease participation or if changes occur through collective bargaining, trustee action or adverse legislation.",0
0000056873,20090331,20090131,·   We do not expect a significant increase in our contributions to multi-employer pension plans in 2009 compared to 2008 subject to collective bargaining and capital market conditions.,0
0000056873,20090331,20090131,"·   We have various labor agreements that will be negotiated in 2009, covering associates in Albuquerque, Arizona, Atlanta, Dallas, Dayton, Denver and Portland.",0
0000056873,20090331,20090131,The Company also participates in various multi-employer plans for substantially all union employees.,0
