CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000007323,20090302,20081231,1,1
0001427437,20100226,20091231,1,1
0001427437,20110228,20101231,1,1
0001427437,20120228,20111231,1,1
0000007323,20160226,20151231,1,1
0000071508,20190226,20181231,1,1
0000071508,20180226,20171231,1,1
0000066901,20170224,20161231,1,1
0001427437,20130227,20121231,1,1
0000007323,20150226,20141231,1,1
0000007323,20140227,20131231,1,1
0000101001,20100226,20091231,1,0
0000101001,20090302,20081231,1,1
0000319687,20180222,20171231,1,1
0000319687,20160218,20151231,1,1
0000319687,20170223,20161231,1,1
0000101001,20110222,20101231,1,1
0000319687,20190228,20181231,1,1
0000319687,20130225,20121231,1,1
0000101001,20120222,20111231,1,1
0000319687,20150220,20141231,1,1
0000319687,20140220,20131231,1,1
0000714560,20110223,20101231,1,1
0000714560,20130220,20121231,1,1
0000714560,20090218,20081231,1,1
0000714560,20100217,20091231,1,1
0000714560,20120222,20111231,1,1
0000714560,20140228,20131231,1,1
0000764195,20190225,20181231,1,1
0000764195,20180226,20171231,1,1
0000764195,20170320,20161231,1,
0000764401,20191025,20190928,1,1
0000764401,20121101,20120929,1,0
0000764401,20111110,20111001,1,0
0000764401,20091109,20091003,1,1
0000764401,20101130,20101002,1,1
0000764401,20141024,20140927,1,1
0000764401,20171027,20170930,1,1
0000764401,20181026,20180929,1,1
0000764401,20151030,20151003,1,1
0000764401,20131029,20130928,1,0
0000764401,20161028,20161001,1,1
0000764579,20190325,20181231,1,1
0000764579,20110324,20101231,1,1
0000764579,20160330,20151231,1,1
0000764579,20100329,20091231,1,1
0000764579,20120327,20111231,1,1
0000764579,20170315,20161231,1,1
0000764579,20180326,20171231,1,1
0000764579,20150318,20141231,1,1
0000764579,20130326,20121231,1,1
0000764579,20140319,20131231,1,1
0000764579,20090403,20081231,1,1
0000764622,20090220,20081231,1,1
0000764622,20100219,20091231,1,1
0000007286,20180223,20171231,1,1
0000764622,20110218,20101231,1,1
0000007286,20190222,20181231,1,1
0000007286,20160219,20151231,1,1
0000007286,20170224,20161231,1,1
0000007286,20130222,20121231,1,1
0000007286,20140221,20131231,1,1
0000007286,20150220,20141231,1,1
0000764622,20120224,20111231,1,1
0000766421,20160211,20151231,1,1
0000766421,20150211,20141231,1,1
0000766421,20120221,20111231,1,1
0000766421,20140213,20131231,1,1
0000766421,20180215,20171231,1,1
0000766421,20170228,20161231,1,1
0000766421,20130214,20121231,1,1
0000766421,20190215,20181231,1,1
0000766421,20110223,20101231,1,
0000766421,20100219,20100218,1,0
0000766421,20090219,20081231,1,1
0000766561,20100302,20100302,1,1
0000766561,20090305,20081231,1,1
0000766561,20110301,20101231,1,1
0000766561,20120307,20111231,1,1
0000766561,20130307,20121231,1,
0000766561,20140306,20131231,1,1
0000766792,20110307,20101231,1,
0000766792,20100331,20091231,1,
0000766792,20090331,20081231,1,1
0000766792,20120327,20111231,1,
0000766792,20170330,20161231,1,1
0000766792,20190401,20181231,1,1
0000766792,20130401,20121231,1,
0000766792,20140331,20131231,1,1
0000766792,20160330,20151231,1,1
0000766792,20180402,20171231,1,1
0000766792,20150331,20141231,1,1
0000766829,20110301,20101231,1,1
0000766829,20100305,20091231,1,1
0000766829,20090309,20081231,1,1
0000766829,20180227,20171231,1,1
0000766829,20190227,20181231,1,1
0000766829,20170228,20161231,1,1
0000766829,20130228,20121231,1,1
0000766829,20160226,20151231,1,1
0000766829,20120229,20111231,1,1
0000766829,20140228,20131231,1,1
0000766829,20150225,20141231,1,1
0000767884,20121120,20120831,1,1
0000767884,20131126,20130831,1,1
0000767884,20141120,20140831,1,1
0000767884,20151123,20150831,1,1
0000767920,20130228,20121229,1,1
0000767920,20110224,20101226,1,1
0000767920,20120228,20111231,1,1
0000767920,20140226,20131228,1,1
0000767920,20150224,20141227,1,1
0000767920,20100224,20091227,1,1
0000767920,20090226,20081228,1,1
0000768251,20130215,20121231,1,1
0000768251,20090225,20081231,1,0
0000768251,20100217,20091231,1,1
0000768251,20120217,20111231,1,1
0000768251,20110216,20101231,1,1
0000768251,20150213,20141231,1,1
0000768251,20140214,20131230,1,1
0000768408,20100624,20100331,1,1
0000768408,20110623,20110331,1,1
0000768408,20090625,20090331,1,1
0000768408,20190701,20190331,1,1
0000768408,20160623,20160331,1,1
0000768408,20180615,20180331,1,1
0000768408,20130624,20130331,1,1
0000768408,20150715,20150331,1,1
0000768408,20140627,20140331,1,1
0000768408,20120621,20120331,1,1
0000768408,20170622,20170331,1,1
0000768411,20090310,20081231,1,1
0000768411,20100311,20091231,1,1
0000768411,20110310,20101231,1,0
0000768411,20120315,20111231,1,1
0000768411,20140328,20131231,1,0
0000768411,20190312,20181231,1,0
0000768411,20130313,20121231,1,0
0000768411,20170314,20161231,1,1
0000768411,20180309,20171231,1,0
0000768411,20160309,20151231,1,1
0000768411,20150312,20141231,1,1
0000768710,20110317,20101231,1,
0000768710,20130326,20121231,1,
0000768710,20120323,20111231,1,
0000768710,20140325,20131231,1,
0000768710,20170328,20161231,1,
0000768710,20190329,20181231,1,
0000768710,20160324,20151231,1,
0000768710,20150324,20141231,1,
0000768710,20180329,20171231,1,
0000768710,20100312,20091231,1,
0000768710,20090313,20081231,1,
0000768835,20090330,20090131,1,1
0000768835,20100330,20100130,1,1
0000768835,20110330,20110129,1,1
0000768835,20170328,20170128,1,1
0000768835,20190402,20190202,1,1
0000768835,20160329,20160130,1,1
0000768835,20180403,20180203,1,1
0000768835,20140401,20140201,1,1
0000768835,20150331,20150131,1,1
0000768835,20130402,20130202,1,1
0000768835,20120326,20120128,1,1
0000768899,20180226,20171231,1,1
0000768899,20170224,20170101,1,1
0000768899,20190222,20181230,1,1
0000768899,20130221,20121228,1,1
0000768899,20160222,20151225,1,1
0000768899,20150223,20141226,1,1
0000768899,20140220,20131227,1,1
0000768899,20100216,20091225,1,1
0000768899,20090218,20081226,1,1
0000768899,20110222,20101231,1,1
0000768899,20120223,20111230,1,1
0000769397,20110318,20110131,1,1
0000769397,20090320,20090131,1,1
0000769397,20100319,20100131,1,1
0000769397,20180322,20180131,1,
0000769397,20170321,20170131,1,1
0000769397,20190325,20190131,1,
0000769397,20140310,20140131,1,1
0000769397,20130318,20130131,1,1
0000769397,20160323,20160131,1,1
0000769397,20150318,20150131,1,1
0000769397,20120315,20120131,1,1
